"整租・尚文创业城 1室0厅 南,900,整租,1室0厅1卫 285O,南 高楼层/7层"
"合租・铁机盛世家园 3居室 南卧,1100,合租,3室1厅1卫 12O 精装修,南 高楼层/31层"
"整租・学雅芳邻 1室0厅 南,700,整租,1室0厅1卫 140O,南 中楼层/18层"
"合租・丽岛柳园 5居室 南卧,750,合租,5室1厅1卫 12O 精装修,南 低楼层/18层"
"合租・文豪苑 1居室 南卧,850,合租,1室0厅0卫 138O,南 中楼层/7层"
"整租・喜瑞都 1室1厅 南,900,整租,1室1厅1卫 91O,南 低楼层/34层"
"合租・丽岛柳园 5居室 南卧,780,合租,5室0厅3卫 15O 精装修,南 高楼层/23层"
"整租・华腾园 1室0厅 南,900,整租,1室0厅0卫 110O,南 中楼层/30层"
"整租・保利上城 1室1厅 南/北,900,整租,1室1厅1卫 20O,南/北 低楼层/34层"
"整租・珞珈雅苑 1室0厅 南,650,整租,1室0厅1卫 20O,南 低楼层/30层"
"合租・新长江滨江花园 3居室 南卧,900,合租,3室1厅2卫 14O 精装修,南 中楼层/28层"
"合租・明泽丽湾 4居室 南卧,800,合租,4室1厅1卫 12O 精装修,南 低楼层/26层"
"合租・东湖景园B区 5居室 南卧,850,合租,5室2厅2卫 20O 精装修,南 高楼层/34层"
"合租・东湖景园B区 5居室 南卧,1000,合租,5室2厅2卫 30O 精装修,南 高楼层/34层"
"合租・风华天城月亮湾 5居室 南卧,990,合租,5室1厅2卫 11O 精装修,南 中楼层/6层"
"合租・福星惠誉东湖城二期 5居室 北卧,860,合租,5室1厅2卫 7O 精装修,北 高楼层/41层"
"整租・风华天城石榴铺 3室1厅 南,850,整租,3室1厅2卫 137O,南 中楼层/6层"
"整租・芷岸龙庭 1室0厅 南,750,整租,1室0厅0卫 138O 精装修,南 中楼层/18层"
"整租・沙湖港湾B区 1室0厅 南,1000,整租,1室0厅1卫 30O,南 低楼层/29层"
"合租・福星惠誉东湖城二期 5居室 北卧,790,合租,5室1厅2卫 7O 精装修,北 高楼层/32层"
"整租・三鸿家园 1室0厅 南,850,整租,1室0厅1卫 143O,南 中楼层/8层"
"整租・华大家园 1室0厅 南,900,整租,1室0厅0卫 139O 精装修,南 高楼层/25层"
"整租・拉德芳斯 1室0厅 南,700,整租,1室0厅1卫 74O,南 中楼层/18层"
"整租・保利心语二期 1室0厅 南/北,750,整租,1室0厅1卫 134O,南/北 低楼层/25层"
"合租・狮城翰园 1居室 南卧,800,合租,1室0厅0卫 125O,南 高楼层/23层"
"合租・鸿福花园 5居室 东南卧,700,合租,5室1厅3卫 15O 精装修,东南 高楼层/18层"
"整租・保利蓝海郡 1室1厅 南,850,整租,1室1厅1卫 89O,南 中楼层/33层"
"整租・爱家名校华城 1室1厅 南,900,整租,1室1厅1卫 79O,南 低楼层/33层"
"整租・芷岸龙庭 1室0厅 南,850,整租,1室0厅1卫 138O,南 低楼层/30层"
"整租・天宝嘉苑 1室0厅 南,900,整租,1室0厅1卫 20O,南 中楼层/30层"
"整租・楚雄公寓 1室0厅 南,850,整租,1室0厅0卫 89O,南 低楼层/7层"
